2018_43-44_lab1_Christoph&Ging_Time_November 5, 2018_18.15
g,s,m,t,d,v,gneun,gneup,gp,gn,g45,g10,g20,g30,g40,g50,g60,g70,g80,g89,g01,sneun,sneup,sp,sn,s45,s10,s20,s30,s40,s50,s60,s70,s80,s89,s01,mneun,mneup,mp,mn,m45,m10,m20,m30,m40,m50,m60,m70,m80,m89,m01,tneun,tneup,tp,tn,t45,t10,t20,t30,t40,t50,t60,t70,t80,t89,t01,dneun,dneup,dp,dn,d45,d10,d20,d30,d40,d50,d60,d70,d80,d89,d01,vneun,vneup,vp,vn,v45,v10,v20,v30,v40,v50,v60,v70,v80,v89,v01,gd0,gd-40,gd-30,gd-20,gd-10,gd10,gd20,gd30,gd40,st0,st-40,st-30,st-20,st-10,st10,st20,st30,st40,mv0,mv-40,mv-30,mv-20,mv-10,mv10,mv20,mv30,mv40,gender,age,ethnicity,edu,sports,sportshr,game,gamehr,music,musichr,vacuum,vacuumhr,dish,dishhr,traffic,traffichr
"Playing your favorite game (e.g., board game, card game, computer game). 

 

Please take some time to think about your feelings toward this activity and then answer the question below.


 

 

 

How do you evaluate doing this activity for 45 minutes? - 1","Doing your favorite sports 

 

Please take some time to think about your feelings toward this activity and then answer the question below.


 

 

 

How do you evaluate doing this activity for 45 minutes? - 1","Listening to your favorite music 

 

Please take some time to think about your feelings toward this activity and then answer the question below.


 

 

 
How do you evaluate doing this activity for 45 minutes? - 1","Getting stuck in a traffic jam without being able to listen to music, use your phone, or talk to anyone 

 

Please take some time to think about your feelings toward this activity and then answer the question below.


 

 

 

How do you evaluate doing this activity for 45 minutes? - 1","Washing dishes of a restaurant yourself manually, without getting paid

 

Please take some time to think about your feelings toward this activity and then answer the question below.


 

 

 
How do you evaluate doing this activity for 45 minutes? - 1","Vacuuming a movie theater after the show by yourself without getting paid

 

Please take some time to think about your feelings toward this activity and then answer the question below.


 

 

 
How do you evaluate doing this activity for 45 minutes? - 1",How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,"Which option would you prefer for this activity?

Tip: You can click on a picture for a faster response.","Which option would you prefer for this activity? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.           Only left options will differ.",1 20,1 30,1 40,1 50,1 60,1 70,1 80,Would you rather...,Would you rather...,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,"Which option would you prefer for this activity?

Tip: You can click on a picture for a faster response.","Which option would you prefer for this activity? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.           Only left options will differ.",2 20,2 30,2 40,2 50,2 60,2 70,2 80,Would you rather...,Would you rather...,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,"Which option would you prefer for this activity?

Tip: You can click on a picture for a faster response.","Which option would you prefer for this activity? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.           Only left options will differ.",3 20,3 30,3 40,3 50,3 60,3 70,3 80,Would you rather...,Would you rather...,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,"Which option would you prefer for this activity?

Tip: You can click on a picture for a faster response.","Which option would you prefer for this activity? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.           Only left options will differ.",4 20,4 30,4 40,4 50,4 60,4 70,4 80,Would you rather...,Would you rather...,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,"Which option would you prefer for this activity?

Tip: You can click on a picture for a faster response.","Which option would you prefer for this activity? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.           Only left options will differ.",5 20,5 30,5 40,5 50,5 60,5 70,5 80,Would you rather...,Would you rather...,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to do this activity for 45 minutes (in euros)?,How much would you be willing to pay to avoid doing this activity for 45 minutes (in euros)?,"Which option would you prefer for this activity?

Tip: You can click on a picture for a faster response.","Which option would you prefer for this activity? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.           Only left options will differ.",6 20,6 30,6 40,6 50,6 60,6 70,6 80,Would you rather...,Would you rather...,"Activity 1: Washing dishes of a restaurant yourself manually, without getting paid (dishes) Activity 2: Playing your favorite game (e.g., board game, card game, computer game) (games)
Which option would you prefer?

Tip: You can click on a picture for a faster response.","Activity 1: Washing dishes of a restaurant yourself manually, without getting paid (dishes)

 

Activity 2: Playing your favorite game (e.g., board game, card game, computer game) (games)





Which option would you prefer? Choose your preferred option in the next eight questions.

 

 

Tips: You can click on a picture for a faster response.

          Only left options will differ.",15 -30,15 -20,15 -10,15 10mins,15 20mins,15 30mins,15 40mins,"Activity 1: Getting stuck in a traffic jam without being able to listen to music, use your phone, or talk to anyone (traffic jam)
Activity 2: Doing your favorite sports (sports)
Which option would you prefer?

Tip: You can click on a picture for a faster response.","Activity 1: Getting stuck in a traffic jam without being able to listen to music, use your phone, or talk to anyone (traffic jam)
Activity 2: Doing your favorite sports (sports)


Which option would you prefer? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.          Only left options will differ.",24 -30,24 -20,24 -10,25 10,24 20,24 30,24 40,"Activity 1: Vacuuming a movie theater after the show by yourself without getting paid (vacuum)
Activity 2: Listening to your favorite music (music)

Which option would you prefer?

Tip: You can click on a picture for a faster response.","Activity 1: Vacuuming a movie theater after the show by yourself without getting paid (vacuum)
Activity 2: Listening to your favorite music (music)

Which option would you prefer? Choose your preferred option in the next eight questions.

Tips: You can click on a picture for a faster response.          Only left options will differ.",36 -30,36 -20,36 -10,36 10,36 20,36 30,36 40,What is your gender?,What is your age (in years)?,What is your ethnicity?,What is your highest level of education?,"On average, how often do you do sports?","On average, when you do sports, how long does it usually take?","On average, how often do you play games (e.g., board game, card game, computer game)?","On average, when you play games, how long does it usually take?","On average, how often do you listen to music?","On average, when you listen to music, how long does it usually take?","On average, how often do you vacuum the floor?","On average, when you vacuum the floor, how long does it usually take?","On average, how often do you wash dishes?","On average, when you wash dishes, how long does it usually take?","On average, how often do you get stuck in a traffic jam?","On average, when you get stuck in a traffic jam, how long does it usually take?"
90,50,100,-23,-100,-80,,,1,,1,2,2,2,2,1,1,1,1,2,2,,,-1,,2,1,1,1,1,2,2,2,2,1,1,,,1,,1,2,2,2,2,1,1,1,1,1,2,,,,0,2,1,1,1,1,2,2,2,2,1,1,,,,0,2,1,1,1,1,2,2,2,2,1,1,,,,0,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,20,1,2,8,8,7,7,1,6,5,2,1,2,8,8
100,100,100,-100,-100,88,,,5,,1,2,2,2,2,1,1,1,1,1,2,,,10,,1,2,2,2,1,1,1,1,1,2,2,,,3,,1,2,2,2,1,1,1,1,1,2,2,,,,2,2,1,1,1,2,2,2,2,2,1,1,,,,10,2,1,1,2,2,2,2,2,2,1,1,,,5,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,21,3,4,3,4,6,2,3,2,4,2,1,1,8,8
56,5,80,-100,-92,23,,,0,,1,1,1,1,1,1,1,1,1,2,2,,,0,,1,1,1,1,1,1,1,1,2,1,2,,,10,,1,1,1,1,1,1,1,1,1,2,2,,,,5,2,1,1,1,2,2,2,2,2,1,1,,,,10,1,1,1,1,1,1,2,2,2,1,1,,,0,,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,19,1,2,7,8,4,4,1,2,3,1,3,2,7,8
100,100,100,-70,-30,-20,,,5,,1,2,2,2,2,2,1,1,1,2,1,,,5,,1,2,2,2,1,1,1,1,1,2,2,,,5,,1,2,2,2,1,1,1,1,1,2,2,,,,0,2,1,1,1,1,1,1,2,2,1,1,,,,10,2,1,1,2,2,2,2,2,2,1,1,,,,3,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,20,1,4,3,5,5,3,1,2,7,1,4,1,7,2
100,75,80,-50,-60,-75,,,3,,1,2,2,1,1,1,1,1,1,2,2,,,5,,1,2,2,1,1,1,1,1,1,1,2,,,4,,1,1,1,1,1,1,1,1,1,2,2,,,,6,2,1,1,1,2,2,2,2,2,1,1,,,,5,2,1,1,1,2,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,17,1,2,2,4,4,4,1,4,6,3,7,1,8,8
85,100,100,-76,-100,-100,,,5,,1,2,2,1,1,1,1,1,1,2,2,,,10,,1,2,2,1,1,1,1,1,1,2,2,,,5,,2,2,2,1,1,1,1,1,1,2,2,,,,10,2,1,1,2,2,2,2,2,2,1,1,,,,10,2,1,2,2,2,2,2,2,2,1,1,,,,10,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,18,1,2,3,6,5,4,1,6,6,1,5,2,6,3
100,-100,100,-75,-50,-75,,,10,,1,2,2,1,1,1,1,1,1,2,2,,,,10,2,1,1,1,2,2,2,2,2,1,1,,,5,,1,2,2,1,1,1,1,1,1,2,2,,,,15,2,1,1,1,2,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,,,,10,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,19,1,2,7,4,5,3,1,6,5,1,7,1,5,2
100,65,97,-86,-95,-89,,,5,,1,2,2,2,2,1,1,1,1,2,2,,,10,,1,2,2,2,2,1,1,1,1,2,2,,,5,,1,2,2,2,2,1,1,1,1,2,2,,,,15,2,1,1,2,2,2,2,2,2,1,1,,,,5,2,1,1,2,2,2,2,2,2,1,1,,,,5,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,2,19,1,2,3,4,5,4,1,7,4,3,3,1,3,2
50,100,100,-66,-87,-50,,,8,,1,1,1,1,1,1,1,1,1,2,2,,,8,,1,1,1,1,1,1,1,1,1,2,2,,,0,,1,1,1,1,1,1,1,1,2,1,2,,,,10,2,1,1,2,2,2,2,2,2,1,1,,,,8,2,1,1,1,2,2,2,2,2,1,1,,,,5,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,19,1,2,4,4,4,4,2,2,4,1,3,1,4,2
90,50,100,30,-100,-100,,,10,,1,2,2,1,1,1,1,1,1,2,2,,,3,,2,1,1,1,2,2,2,2,2,1,1,,,10,,1,2,2,2,1,1,1,1,1,2,2,,,0,,2,1,1,1,2,2,2,2,2,1,2,,,,0,2,1,1,2,2,2,2,2,2,1,1,,,,0,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,22,1,2,7,8,6,3,1,3,4,1,2,1,7,4
80,85,87,-94,-90,-90,,,2,,1,2,2,2,1,1,1,1,1,1,2,,,2,,1,2,2,1,1,1,1,1,1,2,1,,,2,,1,2,2,1,1,1,2,2,2,1,2,,,,3,2,1,1,1,2,2,2,2,2,1,1,,,,3,2,1,1,1,2,2,2,2,2,1,1,,,,5,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,19,1,2,5,4,5,5,1,4,5,2,4,1,7,2
